user_story,final_label
"""As a repository manager, I want to be able to modify the metadata of a collection, object, or object component.  """,Maintainability
"""As a developer, I want to use a new version of the API.  """,Maintainability
"""As a user, I want to have a fast search engine, so that I can find the data I need quickly.  """,Performance
"""As a user, I want to be able to install my data pack on a different server. """,Portability
"""As a user, I want to update the data type of a dataset instance.  """,Maintainability
"As a Data Publishing User, I want to have a view on all the datasets I have published, So that I can perform management actions on my own datasets.",Usability
"As a user, I want to be able to browse by collections in the DAMS.",Functional
"As a data manager, I want to know the time plan for collecting data, so that I can plan the data management.",Maintainability
"As a researcher, I want to see the sections on roles submitted by other researchers in my department, so that I can see if we could share data manager posts.",Usability
"As a developer, I want to determine if we can use the in-built Fedora 4 event audit services.",Compatibility
"As a depositor, I want to deposit and maintain datasets through Pure, so that I have a single onestop shop for managing my research outputs.",Usability
"""As a user, I want to download the data in a simple way, so that I can use it in my own application. """,Portability
"""As a user, I want to be able to access the data from my Android phone. """,Portability
"As a stakeholder, I want to have references to the project proposal, so that I can look up further general information.",Usability
"As an owner, I want to remove someone from membership in my publisher, so that they no longer have ability to publish or modify my data packages.",Security
"""As a researcher, I want to integrate data from multiple sources, so that I can access and analyze all relevant data.  """,Compatibility
"As a DigitalRecords Archivist, I want to have a method to batch ingest ETDs we receive from ProQuest.",Functional
"""As a user, I want to be able to search for images.  """,Functional
"As a developer, I want to know what the three initial hypotheses are, so that I can plan work around development of prototypes.",Functional
"""As a developer, I want to be able to use authentication in my application.  """,Security
"""As a researcher, I want to search for data by keyword, so that I can find the data I need. """,Usability
"""As a user, I want to view a list of all the files in a folder, so that I can view a list of all the files in a folder. """,Performance
"As a Consumer, I want to browse and find publishers, so that that I can find interesting publishers and their packages.",Usability
"As a site editor, I want to edit the content of the email automatically sent to new Certified Scrum Masters and Product Owners, so that I don't need to involve a programmer on simple email edits.",Maintainability
"As a moderator, I want to export a transcript of a game as a HTML file, so that I can save the stories and estimates locally.",Portability
"As a user, I want to specify the explore schema separately.",Usability
"""As a user, I want to be able to download a file and get a 404 page if the file does not exist.  """,Reliability
"As a researcher, I want to collect data as a library of data, which can then be used by one or multiple experiments that are defined at a later stage.",Functional
"""As a user, I want to have an option to have an anonymous account.  """,Security
"As a Developer, I want D Files generation requests to be managed and cached, so that duplicate requests do not cause performance issues.",Performance
"""As a user, I want to view a collection of files, so that I can quickly access the files I need.  """,Performance
"As an app developer, I want to ensure that when I deploy a new version of an app that includes an older version of a dataset type deployed by another app and I expect that the dataset instances created by this app use the dataset type code included in this app.",Compatibility
"As an NSF employee, I want to know where the initial in-person meeting will be, so that I can plan on attending.",Usability
"As a participant, I want to have a small thumbnail photo displayed near where my cards are played, so that the game is more personal because I see who I'm estimating with.",Usability
"As an InformalCaregiver, I want to have a game that the carer could play together with the user, so that it would enable to monitor the users' state of health but also have some fun time.",Functional
"""As a developer, I want to deploy a new version of an app, so that I can update the app.  """,Portability
"""As an archivist, I want to download files in a specific format. """,Portability
"""As a user, I want to view a video file.   """,Performance
"""As a researcher, I want to be able to share my research data with others.  """,Usability
"As an IT staff member, I want to have an estimate of the produced data volume, so that I can plan the overall storage consumption.",Performance
"As a data reuser, I want to get a persistent URL for a dataset, so that I can get back to the data in future.",Usability
"As an Archivist, I want to rearrange the resource description hierarchy by dragging an archival object to a different position in the hierarchy.",Usability
"As a site administrator, I want to create an Other Course or Event that is not charged a listing fee, so that the Scrum Alliance doesn't charge itself for Scrum Gatherings that it puts on.",Functional
"As a parent, I want to be able to see a schedule of the activities my children are involved in at camp, so that I can be more informed as to what they are doing at camp.",Usability
"As a Zooniverse admin, I want to detect moving and transient objects in the images.",Functional
"As a team member, I want to understand what the MVP should look like, so that I can begin understanding workflow needs as they pertain to any CMS decision.",Usability
"As a Zooniverse admin, I want to detect when a scientist should be prompted to look at a subject, based on annotations and information from Talk comments.",Functional
"As a data reuser, I want to see different versions of a dataset at a glance, so that I can be sure I'm using the right version of the dataset.",Usability
"As a Data Publishing User, I want to be able to provide the Platform Administrator with additional GeoJSON sources, So that I can improve the map-based visualisations of my data.",Functional
"""As a user, I want to ensure that the data is still available after a Pod crash.  """,Reliability
"""As an archivist, I want to perform a simple search of all collections, so that I can find all collections containing a certain word.  """,Performance
"""As a user, I want to have the file to be uploaded as fast as possible.  """,Performance
"""As a user, I want to get a summary of the results of a search, so that I can quickly see if a result is what I want.  """,Performance
"""As a developer, I want to integrate my application with the web portal.  """,Compatibility
"As a repoadmin, I want to continue to provide access to the repository in the event that the server fails.",Reliability
"""As a DAMS manager, I want to know what rights I have over the object, so that I can manage the object accordingly. """,Security
"""As a user, I want to have a video file uploaded and published on the web in a matter of seconds.  """,Performance
"As a Staff member, I want to Prepare for and Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.",Functional
"As a user, I want to know the rights status of an object.",Security
"As an archivist, I want to know if a photo has already been scanned, so that I can license it to a researcher.",Functional
As a Solid user I want to know when I am a Solid user and how so that I am able to be in control and actively consent,Security
"As a Staff member, I need to be notified when Geospatial attributes change, so that I can ensure that I am reviewing the permit/application to the most current data and appropriate standards.",Functional
"As a authenticateduser, I want to update my user profile, so that I can connect with other Drupalists at BADCamp.",Functional
"""As an Archivist, I want to search by date.  """,Performance
"As a company accountant, I want to view all available activity fees online, so that I can easily create a bill statement.",Usability
"As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance.",Functional
"""As a user, I want to have a FABS file that is compatible with a FABS file generated by a different version of FABS.  """,Portability
"As a repoadmin, I want to have Symplectic Elements bidirectionally communicate and integrate with DDR, which provide a Fedora Connector and Emory is using a hidden Fedora instance that Hydra collects objects for.",Compatibility
"""As an OlderPerson, I want to have a device that can help me to get to the bathroom. """,Usability
"As a developer, I want to have an easy way to read data from health sensors the user is wearing.",Usability
"""As a user, I want to be able to access the data in a more user-friendly way. """,Usability
"As a company, I want to join the Scrum Alliance by paying a corporate membership fee, so that I can show the company's support of Scrum.",Functional
"As a user, I want to navigate forwards and backwards between log books and log book pages without having to use my browser's back button.",Usability
"""As a user, I want to search for a specific dataset or resource.  """,Functional
"As an institutional data manager, I want to know about the privacy and security requirements of the data, so that I can plan the right storage system and sharing permissions.",Security
"""As a user, I want to be able to quickly and easily download large files.  """,Performance
"As a Zooniverse admin, I want to know when Zoonibot should give an explanation.",Functional
"As a anonymoususer, I want to see how many seats are left for the summit, so that I can make sure to register in-time to reserve my spot.",Usability
"As a anonymoususer, I want to see specific details on summits, so that I can learn more about the summit I'm interested in to see if it matches my interests, register for the event, and get day-of knowledge to help me get to the location.",Usability
"As an admin, I want to be able to communicate directly with facilities, so that I can keep them updated about features we have on our website.",Functional
"As a repoadmin, I want to provide the server SLA to data contributors.",Usability
"""As a researcher, I want to see all the datasets that I have access to, so that I can easily access them. """,Usability
"As a Researcher, I want to be able to reference a remote-controlled vocabulary for my dataset, so that I can be sure that column of my dataset are valid against a single shard list of terms.",Usability
"As a Webmaster of a server with existing read-only content, I want a simple mechanism for users to opt in to Solid, to ensure that they want it",Usability
"""As a site visitor, I want to view a list of all podcasts and articles, so that I can find what I want.  """,Usability
"""As a user, I want to be able to see a consistent error message when an error occurs, so that I can fix the problem.  """,Reliability
"""As a Developer, I want to have a plugin that allows me to generate a ZIP file from the data, so that I can share the data with others. """,Compatibility
"As a repository support team member, I want to export a set of records and associated files, manipulate this data set, and reload into the system, because I am aware of a uniform error in a collection.",Reliability
"""As a user, I want to be able to create a new dataset from a new dataset type. """,Functional
"As a data reuser, I want to view an example citation for a dataset, so that I can reference it correctly.",Usability
"As a Solid user, I want to be able to group people/organisations with potential access to my data together, so I can easily provide the same level of access to people that deserve it",Security
"""As a repository manager, I want to know how long a collection has been archived.   """,Performance
"As a user, I want to add a video to my article.",Functional
"As a repository manager, I want to indicate all subjects that are pertinent to a collection, object, or object component.",Functional
"As a dataset developer, I want to delete outdated versions of a dataset type and I expect this to fail if there are any dataset instances with that version of the type.",Reliability
"""As a researcher, I want to know if the data I am interested in is publicly available or not.  """,Security
"As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.",Functional
"As a developer, I want to have an easy way to define questions the user can ask and perform.",Usability
"""As a Developer, I want to deploy my application on a non-AWS platform.  """,Portability
"""As a developer, I want to use the dataset in my application, so that I can integrate data from the dataset into my application.  """,Compatibility
"""As a user, I want to edit a dataset type, so that I can change its attributes.  """,Maintainability
"As a Zooniverse admin, I want to group subjects by similarity.",Functional
"As a Research Information manager, I want to track citation counts for published datasets, so that impact of datasets within academia can be demonstrated.",Functional
"As an Archivist, I want to import only Agent and Subject information from MARCXML records.",Usability
"As a user, I want to get info about perceptually similar video items and segments.",Functional
"""As a developer, I want to update the FABS pipeline to the latest version.  """,Maintainability
"""As a user, I want to download data packages in a format that can be easily used in R.  """,Portability
"""As a user, I want to know who has access to a dataset.  """,Security
"""As a researcher, I want to see a list of all the datasets I have access to.  """,Functional
"As a non-sophisticated and time-constrained user, I want to leverage the knowledge and time-investment of others in creating sophisticated data-sharing settings by means of shared and rated profiles via a marketplace so that I can have high quality sharing settings with minimum effort via social learning.",Usability
"As an agency user, I want to use the schema v1.1 headers in my FABS file.",Functional
"""As a user, I want to access the repository from my own machine.  """,Portability
"As a researcher, I want to have the ability to store all the inputs for an experiment so that the provenance of the results can be verified.",Functional
"""As a user, I want to receive a zip file of all the files that were uploaded.  """,Performance
"""As a user, I want to be sure that the data I upload is valid.  """,Reliability
"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",Usability
"""As a researcher, I want to know about the rights of the data.  """,Security
"""As a user, I want to ensure that my files are saved.  """,Reliability
"As a lab administrator, I want to theme the Web interface graphics/colours.",Usability
"As a Zooniverse admin,I want to know which piece of education I should give to a volunteer.",Functional
"As an OlderPerson, I want to use ALFRED for touristic walks and indications with explanations on historical and cultural sights.",Functional
"""As a developer, I want to update the API schema, so that I can use the updated schema with my application. """,Maintainability
"As a researcher, I want to create a log book page.",Functional
"As an archivist, I want to search within a repository for resource and accession and digital object records.",Functional
"As an UnivITservice, I want to store archived data on existing storage systems, so that university data storage is consistent and maintainable and future availability of data can be guaranteed.",Maintainability
"""As a user, I want to search for a dataset. """,Functional
"As a team member, I want to know what the first hypothesis is, so that I can start developing a prototype to test.",Functional
"As a researcher, I want to upload files prior to having them attached to a log book page.",Functional
"""As a user, I want to access data from my phone.  """,Portability
"""As an OlderPerson, I want to receive reminders about my medical appointments.  """,Functional
"""As a user, I want to be able to change the dataset name, so that I can change the name of the dataset.  """,Maintainability
"""As an OlderPerson, I want to have a ALFRED device that is able to respond to my requests in a very short time.   """,Performance
"""As a developer, I want to be able to use the dataset in R, so that I can use the dataset in R.  """,Compatibility
"""As a user, I want to have a fast and efficient search and retrieval of data. """,Performance
"""As a user, I want to be able to import data from a CSV file.  """,Compatibility
"As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules.",Functional
"""As a developer, I want to be able to deploy my application on different platforms, so that that my application can be used by people on different platforms. """,Portability
"""As a user, I want to have the ability to set a password to my account.  """,Security
"As a user, I want to have the option to tell Neurohub to push posted content to my Twitter feed at the same time.",Functional
"""As a user, I want to be able to download data packages in R, so that I can use them in my R code.  """,Compatibility
"As a Zooniverse admin, I want to preclassify the Galaxy Zoo images using simple low-level image features.",Functional
"""As a user, I want to be able to limit the access to my data. """,Security
"""As a developer, I want to use a single set of APIs to access data across all of the repository types.  """,Portability
"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",Usability
"""As a researcher, I want to search for data in the repository.  """,Functional
"As a donor representative, I want to access the descriptive information about the images scanned for my institutions needs.",Usability
"As a camp administrator, I want to store camper's immediate parent/guardian's information, so that I can easily call to notify them in case a grossly unacceptable behavior.",Functional
"""As a developer, I want to know if a user has installed my app.  """,Usability
"As a user, I want to modify or branch an experimental protocol, whilst retaining the original.",Functional
"As a Publisher, I want to configure my client, so that I can start publishing data packages.",Functional
"As an OlderPerson, I want to be able to zoom into visual content.",Usability
"As a anonymoususer, I want to easily find a link in the menu that links to the registration form, so that I can easily register for the camp.",Usability
"As a user, I want to have a flexible pick up time, so that I can more conveniently use the website.",Usability
"As a DeveloperWrangler, I want to use a command line tool that allows met to validate data, so that I can feel trust in the validity and usefulness of the data quickly and in the context of my command line workflow.",Functional
"As a UI designer, I want to move on to round 3 of the Help page edits, so that I can get approvals from leadership.",Usability
"As an OlderPerson, I want to do guided exercises with ALFRED and ALFRED should also use sensors to capture health data while I am doing exercises.",Functional
"As a visitor, I want to download presentations, PDFs, etc. on Scrum, so that I can learn from them or use them.",Functional
"""As a developer, I want to be able to use the API with any programming language, so that I can use the data from any language. """,Compatibility
"""As a Developer, I want to have the ability to deploy my application to any of the supported platforms. """,Compatibility
"As a social network user viewing an interesting comment on a friends page, I would like to visit the page of the Friend of a Friend who made the comment.",Functional
"""As a developer, I want to know how long it takes to load a dataset, so that I can plan my workflow.  """,Performance
"""As a user, I want to update the database schema.  """,Maintainability
As a user I want to be able to restore previous data,Reliability
"As a user, I want to upload my week's schedule, so that I can get recommendations for recycling centers that best fit my availability.",Functional
"""As a developer, I want to know how to install and configure the app, so that I can use it.  """,Maintainability
"As a site member, I want to mark my email address as private even if the rest of my profile is not, so that no one can contact me.",Security
"As a government Publisher, I want to make it easy to prove that our published data is valid, so that I can claim that we are living up to our transparency commitments.",Security
"As a anonymoususer, I want to view a list of user profiles, so that I know who is attending the conference.",Usability
"As a user, I want to store worm behaviour videos with an encoding that can be analysed by the worm analysis software written by Christopher James.",Compatibility
"""As a user, I want to upload large files.  """,Performance
"""As a user, I want to see the content of the repository in a reasonable amount of time.  """,Performance
As a Solid user I want to select the Pod provider and this be the default location of my data storage so that I have a minimum standard of where my data is,Usability
"""As a developer, I want to use the API to update the data.  """,Maintainability
"""As a repository manager, I want to know the number of objects that are associated with a given object.  """,Performance
"""As a user, I want to get the data in the most compact format possible, so that I can process it quickly. """,Performance
"""As a user, I want to upload my own data and share it with others. """,Functional
"""As a user, I want to know what kind of permissions I have on a dataset. """,Security
"As a site member, I want to fill out an application to become a Certified Scrum Trainer, so that I can teach CSM and CSPO courses and certify others.",Functional
"As an Authenticated User, I want to get access to links to contextual help.",Usability
"As a faculty member, I want to access a collection within the repository, so that I can obtain research materials.",Functional
"As a lab administrator, I want a way of managing worm strain stocks that is integrated with Wormbase.",Functional
"""As a developer, I want to know if the web application is compatible with other web applications.  """,Compatibility
"""As a user, I want to upload a large file and be able to do so quickly.   """,Performance
"""As a site visitor, I want to know what the site is about and what it offers, so that I can decide whether I want to use it. """,Usability
"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.",Performance
"""As a site visitor, I want to see a list of upcoming events, so that I can plan ahead. """,Usability
"""As a Developer , I want to have a way to create a new instance of a type of object.  """,Usability
"As a FABS user, I want to see correct status labels on the Submission Dashboard, so that I can quickly see my submission history.",Usability
"""As a developer, I want to run my app in a Docker container. 23 March 2016 """,Portability
"""As a user, I want to have the ability to edit a report after it has been created.  """,Maintainability
As a Solid user I want to know under which jurisdiction sofware services fall so that I can be in control and actively consent,Security
"As a trainer, I want to edit my training node myself, so that the training coordinators don't have to and links to slides.",Functional
"As a PI, I want to plan what kind of data I want to store, so that I can ensure it will be possible to store it.",Performance
"As an NSF administrator, I want to shadow the CMS implementation, so that I can learn as the prototype is developed further.",Usability
"""As a developer, I want to use the data package in my pipeline. 30 minutes ago  """,Portability
"As a depositor, I want to link datasets with the project DMP, so that compliance with DMP can be demonstrated and whole project workflow is linked together.",Functional
"As a parent, I want to see which counselors are assigned to my kids, so that I can have peace of mind.",Usability
"As a Researcher, I want to be able to translate my EML dataset to a Data Package, so that I can benefit from the wide array of tools available for Data Packages.",Compatibility
"As an OlderPerson, I want to use ALFRED to contact help in case of an emergency.",Functional
"As a Zooniverse admin, I want to perform automatic detection of plankton size or orientation in Plankton Portal images.",Functional
"As an employee, I want to get quick notifications, so that I can process cases the first time.",Performance
"As a Cornell faculty member, I want to upload data to the repository and associate it with a publication, so that I receive attribution for my data as well as my publications.",Functional
"""As an OlderPerson, I want to have my ALFRED to be able to control who has access to my data. """,Security
"As a researcher, I want to export descriptive data in a common format, so that I can use text mining tools on it.",Compatibility
"As a researcher, I want to be able to view a finding aid for a particular collection/Resource.",Usability
"As a DAMS manager, I want to indicate to preservation managers aspects of a master file useful for monitoring its integrity, and impending obsolescence, including file size, creation date, file format and format version.",Maintainability
"As a broker user, I want the historical FABS loader to derive fields, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.",Compatibility
"As a moderator, I want to delete a game, so that stories and estimates for this game are no longer stored.",Security
"As a parent, I want to be able to track my child's activity and schedule at camp, so that I can have peace of mind.",Usability
"As a collection curator, I want to see the referers for visitors who use resolver-abstracted links to reach my items.",Functional
"""As a user, I want to be able to import data from a CSV file. """,Compatibility
"As a Platform administrator, I want to be able to translate the data types hierarchies of the Viewer while in embed mode, So that my users can understand the interface in their native language.",Usability
"""As a Developer , I want to have the same API across all the different deployment environments, so that I can easily deploy my application. """,Portability
"As an app developer, I want to share a dataset type that I had previously deployed as part of an app.",Functional
"""As a user, I want to be able to retry failed file uploads.  """,Reliability
"""As a user, I want to be able to filter by a specific date range. """,Usability
"As a system administrator, I want to have a managed backup protocol for the system.",Reliability
"""As a developer, I want to know how to handle user data.  """,Security
"""As a user, I want to be able to re-run a job that failed.  """,Reliability
"As an archivist, I want to automatically create access copies of files, so that I don't have to do this manually.",Usability
"""As a researcher, I want to download a large file, so that I can access the file quickly.  """,Performance
"""As a user, I want to be able to change the repository URL.  """,Maintainability
"As a VisualDesigner, I want to concept different styles for the nsf.gov website, so that we can discuss different design concepts with stakeholders.",Usability
"""As a user, I want to see the results of my search before I perform it. """,Usability
"""As an app developer, I want to know if a dataset type is supported by my app. """,Compatibility
"""As a Developer, I want to be able to deploy the app in a new environment without rebuilding it.  """,Portability
As a Solid User I want to be able to get an offline copy of the data on all my Pods for my own physical records and delete all my online data so that I can avoid persecution online while still having a copy of my data assets,Security
"""As a researcher, I want to know about the access rights of the files.  """,Security
"As a trainer, I want to load an Excel file into the site, so that the course participants are added to the Scrum Alliance records.",Functional
"As a user, I want to receive content recommendations based on most relevant news events in my area.",Functional
"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.",Functional
"""As an OlderPerson, I want to have a system that will give me an alert when I am getting close to my home.  """,Usability
"As a collection curator, I want to restrict access to my collection or items to Duke IP addresses.",Security
"""As a user, I want to be able to create and edit my own events. """,Functional
"As a user, I want to have the details of the workflow execution to be recorded in a neurohub log book while executing a workflow.",Functional
"As repository manager, I want to know all the files belonging to an object.",Functional
"As a library staff member, I want to make digital items held in trusted external system searchable within our system, so that I can provide seamless access to disparate collections.",Compatibility
"As an Archivist, I want to rearrange the Resource and/or Digital Object hierarchy using keyboard-based navigation.",Usability
"As a Cornell faculty member, I want to associate a researcherID or ORCID with a submission, so that there is no ambiguity between my work and someone else with the same name.",Usability
"""As a user, I want to be able to download a file and get an error if the file is not found.  """,Reliability
"As a Staff member, I want to Assign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.",Functional
"""As a user, I want to download a copy of the data package in CSV format.  """,Portability
"As a developer, I want to have written a site which is compliant with XHTML and CSS standards, so that as many people as possible can access the site and view it as intended.",Compatibility
"""As a developer, I want to be able to integrate my app with the Pods app. """,Compatibility
As a Solid user I want autocorrect for my data for when a shoddy app doesn't store my data properly so that my data is clean and functional and ready for use in the apps of my choice,Functional
"""As an OlderPerson, I want to use ALFRED with my smart glasses.  """,Compatibility
"""As a researcher, I want to know about the scope of the collections.  """,Usability
"As an archivist, I want to have electronic versions of the collection files available for staff use, so that I increase accessibility and I do not lose the original files.",Usability
"As an OlderPerson, I want to have an AFLRED device that encourages its users for real interaction between humans and not only with ICT tools.",Usability
"As a DB/IR administrator, I want to login to personal account with access to authorized functions.",Security
"""As a developer, I want to be able to deploy my app to any platform, so that I can be sure my app will work no matter where the user is. """,Portability
"As a researcher, I want to have a timeline display of multiple data files and their associated images, so that I can compare the data taken from experiments on particular dates.",Usability
"""As a user, I want to be able to edit my data after it has been uploaded.  """,Maintainability
"As a Data Publishing User, I want to be able to Hide a dataset that I have already added as Public, So that I can fix my mistakes or have a dataset primarily for my own use.",Security
"""As a user, I want to get an estimate of how long a particular dataset would take to download, so that I can plan accordingly.  """,Performance
"As a data manager, I want to plan the anonymization of data, so that we protect the privacy of the people participating in the research as good as possible and still ensure reusability of data.",Security
"""As a user, I want to be able to set a password on my account.  """,Security
"""As a developer, I want to be able to deploy a Neurohub instance on my local machine. """,Portability
"As a Solid user I want to view the criteria to consider when choosing a Pod provider (e.g. physical location of the storage, legal location of the provider, type of legal entity, if storage is at home or at a provider) so that I can conveniently find a Pod provider that matches my preferences",Usability
"As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it.",Functional
"""As a user, I want to ensure that the data in the repository is consistent with the data in the database.  """,Reliability
"As an admin, I want to annotate news video segments and extract a topic for each segment.",Functional
"As a batch submitter, I want to access documentation describing the folder ingest process.",Usability
"As a data curator, I want to have a mechanism to allow for records scheduling for items that do not need to be stored indefinitely.",Maintainability
"As a user, I want to update a single property of a dataset instance without knowing all other properties.",Maintainability
"As an API User, I want to be able to persistently store visualisation state in the database, So that such can be shared more easily and contribute to a visualisation gallery.",Maintainability
"""As a user, I want to access a data package in Jupyter, so that I can use the data in Jupyter. """,Portability
"As a Website user, I want to access published FABS files, so that I can see the new files as they come in.",Usability
